Id,SegmentId_Time,Altitude,Latitude,Longitude,Noisy_Altitude,Noisy_Latitude,Noisy_Longitude
30,1_3830,?,?,?,151.73618639,40.4071983482,-86.9347673338
31,1_3831,?,?,?,164.301476909,40.4168308936,-86.9333158107
32,1_3832,?,?,?,164.35866834,40.4145469628,-86.9334930474
33,1_3833,?,?,?,160.757521144,40.4131700727,-86.9338464973
34,1_3834,?,?,?,153.638078982,40.4104817182,-86.9350590479
35,1_3835,?,?,?,161.843854762,40.4263874836,-86.9320613967
36,1_3836,?,?,?,143.946733924,40.4070397852,-86.9344898126
37,1_3837,?,?,?,160.957487215,40.4189659156,-86.9335008837
38,1_3838,?,?,?,161.032246076,40.4222473966,-86.93264195
39,1_3839,?,?,?,167.5752585,40.4211573583,-86.9333392644
40,1_3840,?,?,?,156.974175102,40.4117705919,-86.9337273866
41,1_3841,?,?,?,168.884264278,40.4287521758,-86.9315457359
42,1_3842,?,?,?,144.907032158,40.4137987474,-86.9351762269
43,1_3843,?,?,?,164.208740207,40.4189197849,-86.9332963074
44,1_3844,?,?,?,164.922118588,40.4192605423,-86.9327831567
45,1_3845,?,?,?,160.026292841,40.4189630149,-86.9331635427
46,1_3846,?,?,?,155.499665446,40.4101114634,-86.9349618508
47,1_3847,?,?,?,166.55736522,40.4259195905,-86.9313630352
48,1_3848,?,?,?,146.70691491,40.4130308496,-86.9347172313
49,1_3849,?,?,?,155.414008217,40.4167366663,-86.9335429862
50,1_3850,?,?,?,158.620003087,40.4172542834,-86.9333140173
51,1_3851,?,?,?,163.730075992,40.4223273892,-86.9327771772
52,1_3852,?,?,?,145.858161485,40.4058431744,-86.9352025087
53,1_3853,?,?,?,166.549351189,40.4249744302,-86.9319404376
54,1_3854,?,?,?,159.466435806,40.4114265768,-86.9351379541
55,1_3855,?,?,?,165.529155722,40.4177042203,-86.9337491342
56,1_3856,?,?,?,162.974225888,40.423126178,-86.9326449553
57,1_3857,?,?,?,161.001527302,40.4142797912,-86.9328551097
58,1_3858,?,?,?,151.595341162,40.4063267745,-86.9350457076
59,1_3859,?,?,?,169.359759354,40.4319473852,-86.9317262312
60,1_3860,?,?,?,153.777211843,40.4098701017,-86.9340831965
61,1_3861,?,?,?,152.7967408,40.412572383,-86.9342536905
62,2_3801,?,?,?,160.214927518,40.4186657412,-86.9327469513
63,2_3802,?,?,?,160.13096037,40.4195404963,-86.9334593995
64,2_3803,?,?,?,150.613022729,40.4105118211,-86.9349370027
65,2_3804,?,?,?,163.974270773,40.4218981703,-86.9327389625
66,2_3805,?,?,?,152.343922231,40.4110190545,-86.9342398817
67,2_3806,?,?,?,154.261890365,40.411102626,-86.933676341
68,2_3807,?,?,?,156.991728182,40.4136968724,-86.9318816554
69,2_3808,?,?,?,164.726864259,40.4231064141,-86.932824939
70,2_3809,?,?,?,147.907074512,40.4093268336,-86.9352550887
71,2_3810,?,?,?,164.616749214,40.4173612414,-86.9325819834
72,2_3811,?,?,?,162.022586269,40.4173101177,-86.9329589063
73,2_3812,?,?,?,153.476977059,40.4074498192,-86.9355288334
74,2_3813,?,?,?,160.721936043,40.423200057,-86.9327920658
75,2_3814,?,?,?,155.796776272,40.4171620785,-86.933772252
76,2_3815,?,?,?,150.175466543,40.4045781364,-86.9350141904
77,2_3816,?,?,?,155.634946559,40.4158207939,-86.9336628761
78,2_3817,?,?,?,159.348397816,40.4189510731,-86.9325634566
79,2_3818,?,?,?,156.23137394,40.4090269357,-86.9346099965
80,2_3819,?,?,?,158.09396979,40.4208931602,-86.9326960639
81,2_3820,?,?,?,156.745343624,40.4215664921,-86.9316610871
82,2_3821,?,?,?,150.121702655,40.4133152137,-86.934366244
83,2_3822,?,?,?,157.172256246,40.4173877068,-86.9337496492
84,2_3823,?,?,?,165.927876167,40.4250976067,-86.9325752264
85,2_3824,?,?,?,145.765433827,40.4088572793,-86.9344983849
86,2_3825,?,?,?,155.485120863,40.4212788788,-86.9333390702
87,2_3826,?,?,?,156.705529728,40.4157290021,-86.9333268667
88,2_3827,?,?,?,154.139900558,40.411835124,-86.9338722782
89,2_3828,?,?,?,154.867708787,40.4072953508,-86.9337405034
90,2_3829,?,?,?,169.099566869,40.4263155285,-86.9317928071
91,2_3830,?,?,?,149.911586547,40.4075936876,-86.9353229466
92,2_3831,?,?,?,161.177931568,40.4229490357,-86.9333928469
93,2_3832,?,?,?,160.743141904,40.4236257269,-86.9323620459
94,2_3833,?,?,?,153.074686977,40.4155534621,-86.9350907199
95,2_3834,?,?,?,149.126410998,40.4128809764,-86.9349236072
96,2_3835,?,?,?,165.48552071,40.4243681231,-86.931458497
97,2_3836,?,?,?,155.656311074,40.4083847121,-86.9346124742
98,2_3837,?,?,?,158.712284939,40.4140525184,-86.9340666851
99,2_3838,?,?,?,159.901078426,40.4140582077,-86.9330612184
100,2_3839,?,?,?,157.214255907,40.4185318552,-86.9332421384
101,2_3840,?,?,?,148.984559556,40.4109911417,-86.935378654
102,2_3841,?,?,?,169.721059766,40.4218650335,-86.9314861583
103,2_3842,?,?,?,156.522707353,40.4072046642,-86.9346694902
104,2_3843,?,?,?,159.46906048,40.4148394583,-86.9339349558
105,2_3844,?,?,?,162.277825657,40.4171853266,-86.9335857155
106,2_3845,?,?,?,161.630357824,40.4193875573,-86.9341072911
107,2_3846,?,?,?,153.521135572,40.412046177,-86.9353191801
108,2_3847,?,?,?,167.290419484,40.4268097111,-86.931998971
109,2_3848,?,?,?,147.273153754,40.4078851432,-86.93609287
110,2_3849,?,?,?,153.385387556,40.4156558037,-86.9332374778
111,2_3850,?,?,?,165.932667792,40.4186871703,-86.933548665
112,2_3851,?,?,?,155.745442564,40.415679554,-86.9331496433
113,2_3852,?,?,?,143.518668535,40.4074439156,-86.9356765631
114,2_3853,?,?,?,175.456440006,40.4239520203,-86.9315136157
115,2_3854,?,?,?,152.66741822,40.4114154774,-86.9351199532
116,2_3855,?,?,?,153.572740256,40.413306301,-86.933611811
117,2_3856,?,?,?,164.524288614,40.4166231067,-86.9323579865
118,2_3857,?,?,?,157.67737526,40.4190214804,-86.9331085151
119,2_3858,?,?,?,144.49474496,40.4082180081,-86.9358843741
120,2_3859,?,?,?,168.287616664,40.4234663015,-86.9319104617
121,2_3860,?,?,?,156.489923931,40.4114851641,-86.933938636
122,2_3861,?,?,?,149.326244626,40.4112225498,-86.9339014448
123,3_3801,?,?,?,162.605593826,40.420420597,-86.9336738952
124,3_3802,?,?,?,164.160008908,40.4202176219,-86.9335538024
125,3_3803,?,?,?,147.347931769,40.4095527284,-86.9351050188
126,3_3804,?,?,?,162.663079038,40.4258503926,-86.9322743459
127,3_3805,?,?,?,154.974774874,40.4175530616,-86.9335342401
128,3_3806,?,?,?,150.720016209,40.4109478672,-86.9352536744
129,3_3807,?,?,?,157.382683477,40.426904079,-86.9332752473
130,3_3808,?,?,?,163.220710206,40.4210339279,-86.9330451805
131,3_3809,?,?,?,149.480917481,40.4085518924,-86.9353708572
132,3_3810,?,?,?,165.630472041,40.422392179,-86.9325001366
133,3_3811,?,?,?,162.962989211,40.4207939012,-86.9330179865
134,3_3812,?,?,?,157.077464006,40.4100351467,-86.9345853728
135,3_3813,?,?,?,167.346001725,40.4214222981,-86.9333734851
136,3_3814,?,?,?,157.948790421,40.4171644206,-86.9320305047
137,3_3815,?,?,?,150.248644643,40.4064707801,-86.9347905738
138,3_3816,?,?,?,166.117135148,40.4182236846,-86.9334703159
139,3_3817,?,?,?,165.718219933,40.4202038276,-86.9332202328
140,3_3818,?,?,?,161.901602696,40.405324164,-86.9354197498
141,3_3819,?,?,?,159.046938474,40.4203976416,-86.9327341062
142,3_3820,?,?,?,163.340805005,40.415938785,-86.933181413
143,3_3821,?,?,?,153.659699307,40.4158884488,-86.933932797
144,3_3822,?,?,?,154.381354049,40.4148046353,-86.9341292583
145,3_3823,?,?,?,164.230906121,40.421974767,-86.9321296751
146,3_3824,?,?,?,152.546545505,40.4104246857,-86.9348726768
147,3_3825,?,?,?,160.874409745,40.4209917314,-86.9329813587
148,3_3826,?,?,?,161.79238148,40.4186209822,-86.9333975471
149,3_3827,?,?,?,155.132957096,40.4139986285,-86.9342460175
150,3_3828,?,?,?,158.89610972,40.4189650578,-86.9346608337
151,3_3829,?,?,?,168.043545561,40.4218757661,-86.9313236991
152,3_3830,?,?,?,155.101198648,40.4087282506,-86.9356538847
153,3_3831,?,?,?,163.838003055,40.416939207,-86.9342454148
154,3_3832,?,?,?,161.914499792,40.4219361455,-86.9327227173
155,3_3833,?,?,?,155.9395263,40.4080464597,-86.9333417847
156,3_3834,?,?,?,156.590836398,40.4113902906,-86.9347345323
157,3_3835,?,?,?,172.211754719,40.4290872321,-86.932431782
158,3_3836,?,?,?,152.757763516,40.4067380714,-86.9348144895
159,3_3837,?,?,?,161.052929353,40.4134670685,-86.9324378435
160,3_3838,?,?,?,160.942698416,40.4248073969,-86.9332934725
161,3_3839,?,?,?,154.285548296,40.4196124316,-86.9338963522
162,3_3840,?,?,?,153.744012581,40.4111884135,-86.9334866117
163,3_3841,?,?,?,167.613838389,40.423624451,-86.9316293901
164,3_3842,?,?,?,154.004533715,40.40710799,-86.9351481184
165,3_3843,?,?,?,163.492161727,40.4109493051,-86.9331016675
166,3_3844,?,?,?,158.421418194,40.4225201483,-86.9331436955
167,3_3845,?,?,?,156.857550891,40.4184506143,-86.9343409574
168,3_3846,?,?,?,149.537448999,40.4111860247,-86.9344145635
169,3_3847,?,?,?,171.094447701,40.4222555798,-86.9312878561
170,3_3848,?,?,?,149.07380627,40.4125223735,-86.9347666311
171,3_3849,?,?,?,159.395571377,40.4183223338,-86.9336891507
172,3_3850,?,?,?,165.397331291,40.4186061858,-86.9336266033
173,3_3851,?,?,?,164.182772855,40.4146601086,-86.9325498732
174,3_3852,?,?,?,149.365365741,40.4049008061,-86.9352489525
175,3_3853,?,?,?,167.08352165,40.4220641916,-86.9310779619
176,3_3854,?,?,?,156.9592662,40.4092074355,-86.9355960954
177,3_3855,?,?,?,159.009985913,40.4146971363,-86.9342329517
178,3_3856,?,?,?,165.9649346,40.4181718662,-86.9333090889
179,3_3857,?,?,?,155.911817988,40.4186594757,-86.9333891195
180,3_3858,?,?,?,150.422512326,40.4089642132,-86.9352924475
181,3_3859,?,?,?,171.970127843,40.4253084847,-86.9319597109
182,3_3860,?,?,?,152.079823839,40.4098288743,-86.9340196336
183,3_3861,?,?,?,155.455641483,40.4143201554,-86.9338220925
184,4_3801,?,?,?,730.83650864,40.3895498787,-87.0016749285
185,4_3802,?,?,?,733.527319918,40.3969489947,-87.0014373925
186,4_3803,?,?,?,727.566194301,40.3779791395,-87.0046441079
187,4_3804,?,?,?,753.181276881,40.3960726299,-87.0023717128
188,4_3805,?,?,?,739.300304086,40.3841054062,-87.0055601864
189,4_3806,?,?,?,743.067310706,40.3838429069,-87.0058960567
190,4_3807,?,?,?,753.653872433,40.3890675149,-87.0049159107
191,4_3808,?,?,?,755.23221212,40.3952622828,-87.0053950747
192,4_3809,?,?,?,742.683765039,40.3782548035,-87.0095449957
193,4_3810,?,?,?,777.477764945,40.3914080755,-87.0062171991
194,4_3811,?,?,?,772.471474667,40.3931643315,-87.0082547074
195,4_3812,?,?,?,768.218331631,40.3764546592,-87.0100591665
196,4_3813,?,?,?,784.845842813,40.3859611257,-87.0085165111
197,4_3814,?,?,?,785.838794015,40.3890744074,-87.0088117916
198,4_3815,?,?,?,775.281782543,40.3799092908,-87.0130121695
199,4_3816,?,?,?,784.621421224,40.3888319292,-87.010950308
200,4_3817,?,?,?,791.741050085,40.389290381,-87.01189702
201,4_3818,?,?,?,784.416143014,40.3771870265,-87.0135448033
202,4_3819,?,?,?,797.517359724,40.3945503465,-87.0119937184
203,4_3820,?,?,?,802.915554402,40.3909532673,-87.0128504582
204,4_3821,?,?,?,802.290633117,40.3795558882,-87.0155775659
205,4_3822,?,?,?,808.950258273,40.3823414057,-87.0158412049
206,4_3823,?,?,?,825.219977924,40.391569517,-87.0149191619
207,4_3824,?,?,?,806.495001505,40.380276672,-87.0173407253
208,4_3825,?,?,?,824.351607411,40.3886803549,-87.0149102712
209,4_3826,?,?,?,835.185257781,40.3921672323,-87.0167853388
210,4_3827,?,?,?,833.777622609,40.3859586098,-87.0182007882
211,4_3828,?,?,?,843.273528475,40.3802386959,-87.0189011376
212,4_3829,?,?,?,858.783374634,40.3962295107,-87.018131805
213,4_3830,?,?,?,844.3623003,40.376553104,-87.021067572
214,4_3831,?,?,?,865.280224138,40.3898995954,-87.0196689454
215,4_3832,?,?,?,868.460666373,40.3867534486,-87.0210156382
216,4_3833,?,?,?,877.115945306,40.381093738,-87.0210189069
217,4_3834,?,?,?,883.151352045,40.3808655596,-87.0229037497
218,4_3835,?,?,?,902.564174784,40.3954333847,-87.0208884999
219,4_3836,?,?,?,887.955312455,40.3808013917,-87.0242672841
220,4_3837,?,?,?,904.195853295,40.3827004565,-87.023119412
221,4_3838,?,?,?,907.360148926,40.3844534188,-87.0239759797
222,4_3839,?,?,?,908.031419031,40.3809316482,-87.0248463899
223,4_3840,?,?,?,913.337133431,40.3747510569,-87.0249633973
224,4_3841,?,?,?,926.6168081,40.3946378067,-87.024030773
225,4_3842,?,?,?,905.631055304,40.3808040506,-87.0278217295
226,4_3843,?,?,?,920.251729593,40.3872265464,-87.0262031428
227,4_3844,?,?,?,919.212050767,40.3875851879,-87.0262050901
228,4_3845,?,?,?,923.696336019,40.3838477159,-87.0268312997
229,4_3846,?,?,?,917.038203647,40.3764701381,-87.0289940467
230,4_3847,?,?,?,933.889603874,40.3943046793,-87.0275055677
231,4_3848,?,?,?,919.411046361,40.3725467363,-87.0305279122
232,4_3849,?,?,?,930.092395326,40.3830055333,-87.0296941584
233,4_3850,?,?,?,932.716091833,40.381349177,-87.0300003794
234,4_3851,?,?,?,938.430996664,40.3905427418,-87.0307924836
235,4_3852,?,?,?,939.334071752,40.3758085123,-87.0329031671
236,4_3853,?,?,?,962.98617803,40.391180608,-87.0307158548
237,4_3854,?,?,?,952.5350263,40.3752647107,-87.0341530567
238,4_3855,?,?,?,965.219068131,40.37907393,-87.0343096444
239,4_3856,?,?,?,974.748050849,40.3835340924,-87.0334772557
240,4_3857,?,?,?,974.534825155,40.3786766759,-87.0340095134
241,4_3858,?,?,?,981.299864488,40.3693890482,-87.0373112218
242,4_3859,?,?,?,997.020056641,40.3929182877,-87.0336687366
243,4_3860,?,?,?,994.871804708,40.3798873447,-87.0355583641
244,4_3861,?,?,?,990.241353022,40.3814674893,-87.0374371159
245,5_3801,?,?,?,151.78718829,40.4152001134,-86.9331689999
246,5_3802,?,?,?,155.376138792,40.4165312891,-86.9328577421
247,5_3803,?,?,?,138.23949216,40.404657964,-86.9359389985
248,5_3804,?,?,?,160.164774684,40.4223639474,-86.9323285048
249,5_3805,?,?,?,145.228311588,40.4116249227,-86.9343233752
250,5_3806,?,?,?,148.773960193,40.4124298841,-86.9340146112
251,5_3807,?,?,?,150.899063912,40.4167575639,-86.9328470627
252,5_3808,?,?,?,153.103634106,40.4257978851,-86.9332488946
253,5_3809,?,?,?,143.391170535,40.4053310848,-86.9349184098
254,5_3810,?,?,?,157.436239792,40.4255106987,-86.9320647728
255,5_3811,?,?,?,155.013253779,40.4133642281,-86.93399528
256,5_3812,?,?,?,147.609464516,40.4076546183,-86.9345119451
257,5_3813,?,?,?,149.892794632,40.4220561586,-86.9333792715
258,5_3814,?,?,?,154.311580448,40.4200225926,-86.9335822484
259,5_3815,?,?,?,144.762414829,40.4103196256,-86.9346304875
260,5_3816,?,?,?,153.116599067,40.4200586296,-86.9322908582
261,5_3817,?,?,?,150.872191731,40.4161161267,-86.9324707171
262,5_3818,?,?,?,142.186690028,40.404891319,-86.9352588622
263,5_3819,?,?,?,152.357262981,40.4143237441,-86.9331224408
264,5_3820,?,?,?,156.684405149,40.4137169547,-86.9327426148
265,5_3821,?,?,?,147.858355596,40.4162547909,-86.9339225156
266,5_3822,?,?,?,152.372704414,40.41320278,-86.9329169931
267,5_3823,?,?,?,152.302238389,40.41916513,-86.932600591
268,5_3824,?,?,?,136.740745022,40.4073629802,-86.9356053918
269,5_3825,?,?,?,151.832878797,40.4164520523,-86.9329035838
270,5_3826,?,?,?,159.520204213,40.41684903,-86.9326463211
271,5_3827,?,?,?,143.728492752,40.4156584478,-86.935088226
272,5_3828,?,?,?,152.056413384,40.4123683653,-86.9342854287
273,5_3829,?,?,?,159.669143085,40.4233114359,-86.9321997658
274,5_3830,?,?,?,144.455712374,40.406204501,-86.9353643707
275,5_3831,?,?,?,150.765407863,40.4170799178,-86.9330091789
276,5_3832,?,?,?,148.399603757,40.4152121646,-86.932976679
277,5_3833,?,?,?,148.720559926,40.4182245408,-86.9339084278
278,5_3834,?,?,?,148.468664067,40.4055161936,-86.9344624295
279,5_3835,?,?,?,158.905660303,40.4252595188,-86.9318852343
280,5_3836,?,?,?,143.230235542,40.4043829112,-86.9345596579
281,5_3837,?,?,?,156.504351371,40.4139156941,-86.932991445
282,5_3838,?,?,?,155.722914731,40.4167829184,-86.9331707763
283,5_3839,?,?,?,151.190296293,40.4141764675,-86.9335490981
284,5_3840,?,?,?,142.38798453,40.4093753479,-86.934537805
285,5_3841,?,?,?,161.203509423,40.4331436669,-86.932011849
286,5_3842,?,?,?,154.236304806,40.4062381104,-86.934641392
287,5_3843,?,?,?,154.589601817,40.4186005188,-86.9342125668
288,5_3844,?,?,?,154.498213095,40.417199236,-86.9339965948
289,5_3845,?,?,?,150.260068619,40.4152862233,-86.9342226812
290,5_3846,?,?,?,139.56512969,40.4091899335,-86.9341270978
291,5_3847,?,?,?,164.400952814,40.4254908321,-86.932492407
292,5_3848,?,?,?,148.327089772,40.4075532651,-86.9352240726
293,5_3849,?,?,?,148.452151987,40.4150676808,-86.9334169419
294,5_3850,?,?,?,155.312306828,40.4152169246,-86.9322377614
295,5_3851,?,?,?,158.16894342,40.4134411465,-86.9340004362
296,5_3852,?,?,?,144.575476407,40.4109980311,-86.9346256435
297,5_3853,?,?,?,161.174736192,40.4287310133,-86.931921516
298,5_3854,?,?,?,142.787146895,40.4104946025,-86.9348357619
299,5_3855,?,?,?,157.537855091,40.4173651721,-86.9335415277
300,5_3856,?,?,?,160.298237799,40.4200513741,-86.9332620282
301,5_3857,?,?,?,156.655114852,40.4195683934,-86.933865104
302,5_3858,?,?,?,143.64020823,40.4091418942,-86.935508925
303,5_3859,?,?,?,160.718533442,40.4258698002,-86.9325431564
304,5_3860,?,?,?,148.786703166,40.4095624412,-86.9347574075
305,5_3861,?,?,?,151.630388726,40.412412804,-86.9348309435
306,6_3801,?,?,?,151.756051066,40.417056134,-86.93096409
307,6_3802,?,?,?,151.041143932,40.4171605948,-86.9316773391
308,6_3803,?,?,?,135.755976178,40.4068787311,-86.9339634515
309,6_3804,?,?,?,163.989852524,40.4188167394,-86.9301594685
310,6_3805,?,?,?,142.706835586,40.4145771413,-86.9314410892
311,6_3806,?,?,?,142.539891988,40.4052742997,-86.9325072939
312,6_3807,?,?,?,148.714701987,40.4192479037,-86.9313500957
313,6_3808,?,?,?,146.211127642,40.4161674399,-86.931460942
314,6_3809,?,?,?,143.302606997,40.4053765985,-86.9330052688
315,6_3810,?,?,?,151.112785624,40.4224983671,-86.9308349566
316,6_3811,?,?,?,152.068774827,40.4130795075,-86.9319722797
317,6_3812,?,?,?,140.450818562,40.4073607684,-86.9342256181
318,6_3813,?,?,?,147.736897683,40.4201256758,-86.9309206991
319,6_3814,?,?,?,147.941987287,40.4226375616,-86.931582214
320,6_3815,?,?,?,140.132521597,40.4077587709,-86.9326177093
321,6_3816,?,?,?,154.395588869,40.4172898524,-86.9310174649
322,6_3817,?,?,?,155.003349014,40.4195325733,-86.9322432397
323,6_3818,?,?,?,136.597407688,40.4092485752,-86.9333118575
324,6_3819,?,?,?,153.022004235,40.4180691309,-86.9315708915
325,6_3820,?,?,?,150.959530611,40.4166823379,-86.9306712793
326,6_3821,?,?,?,144.044243736,40.412705556,-86.9335531857
327,6_3822,?,?,?,149.628232982,40.4185047745,-86.9309657755
328,6_3823,?,?,?,157.010949207,40.41898352,-86.9312136455
329,6_3824,?,?,?,139.417534678,40.4068986352,-86.9338410806
330,6_3825,?,?,?,150.362273591,40.4237216446,-86.931186101
331,6_3826,?,?,?,144.000911981,40.4182498173,-86.9322069513
332,6_3827,?,?,?,143.706502942,40.4101594521,-86.9323671677
333,6_3828,?,?,?,151.363829813,40.4052774032,-86.9322481458
334,6_3829,?,?,?,153.615637895,40.4220727987,-86.9314087317
335,6_3830,?,?,?,136.342084518,40.405630219,-86.9336756851
336,6_3831,?,?,?,156.605949193,40.4204074917,-86.9305824771
337,6_3832,?,?,?,150.833617682,40.4188525121,-86.9317184612
338,6_3833,?,?,?,144.923663424,40.4146843494,-86.9331579532
339,6_3834,?,?,?,144.171071885,40.4078991246,-86.9332515649
340,6_3835,?,?,?,154.210210663,40.4265273283,-86.9305288239
341,6_3836,?,?,?,139.470266787,40.4050589277,-86.9335341503
342,6_3837,?,?,?,154.373798165,40.4209553312,-86.9310862607
343,6_3838,?,?,?,148.829248627,40.4151598694,-86.9313073288
344,6_3839,?,?,?,148.578615242,40.4091207862,-86.9321344339
345,6_3840,?,?,?,142.593337604,40.4091280033,-86.9323618912
346,6_3841,?,?,?,150.697252282,40.4238497883,-86.9296621031
347,6_3842,?,?,?,133.949198111,40.4056004314,-86.9335363478
348,6_3843,?,?,?,149.101820281,40.4181766655,-86.9311577964
349,6_3844,?,?,?,150.396823507,40.4185515249,-86.9309273254
350,6_3845,?,?,?,149.7412898,40.4185448078,-86.9322117262
351,6_3846,?,?,?,139.626147034,40.4059178562,-86.9332347649
352,6_3847,?,?,?,158.986730836,40.4246348544,-86.9311429456
353,6_3848,?,?,?,142.263558548,40.4044734776,-86.9318568191
354,6_3849,?,?,?,150.633903102,40.4179656927,-86.9307433138
355,6_3850,?,?,?,156.476356693,40.4195246307,-86.9321299778
356,6_3851,?,?,?,149.997429014,40.4128489232,-86.9322137212
357,6_3852,?,?,?,140.07636679,40.404289775,-86.9338976134
358,6_3853,?,?,?,159.179327205,40.4321122004,-86.9308297888
359,6_3854,?,?,?,141.670155121,40.4107931264,-86.9330176255
360,6_3855,?,?,?,147.662325326,40.4134456161,-86.932064735
361,6_3856,?,?,?,152.591821176,40.415134729,-86.9309594358
362,6_3857,?,?,?,148.889039534,40.4238865073,-86.9312245832
363,6_3858,?,?,?,141.194560487,40.4033391091,-86.9336625632
364,6_3859,?,?,?,162.332756054,40.4258598817,-86.930059319
365,6_3860,?,?,?,144.278901675,40.4129151324,-86.9333357175
366,6_3861,?,?,?,147.372081059,40.4114168989,-86.9321796288
367,7_3801,?,?,?,979.999041284,40.0598727683,-86.9039687511
368,7_3802,?,?,?,988.664246075,40.0612061248,-86.904360958
369,7_3803,?,?,?,977.083831981,40.0527717756,-86.9055780194
370,7_3804,?,?,?,990.734019384,40.0618742496,-86.9017532071
371,7_3805,?,?,?,978.731476182,40.0552946518,-86.9040384401
372,7_3806,?,?,?,973.373136705,40.0572192775,-86.9036165621
373,7_3807,?,?,?,981.790767983,40.0589427352,-86.9034590812
374,7_3808,?,?,?,980.404117347,40.0618397316,-86.90321475
375,7_3809,?,?,?,973.620489772,40.0555395765,-86.9066608939
376,7_3810,?,?,?,986.395960425,40.0683083683,-86.9038168632
377,7_3811,?,?,?,984.355015632,40.0606320619,-86.9041034887
378,7_3812,?,?,?,975.018671841,40.0600771189,-86.9043593677
379,7_3813,?,?,?,984.85704936,40.0622280676,-86.9033447426
380,7_3814,?,?,?,976.789668867,40.0690681912,-86.9029254037
381,7_3815,?,?,?,969.010193467,40.0606008012,-86.9054352726
382,7_3816,?,?,?,979.246565552,40.0671957192,-86.9020185479
383,7_3817,?,?,?,980.792820591,40.0699078809,-86.9031425504
384,7_3818,?,?,?,962.909161109,40.0609859935,-86.9060116227
385,7_3819,?,?,?,972.626324813,40.0700280018,-86.9033374042
386,7_3820,?,?,?,972.791676684,40.0691467123,-86.9032898482
387,7_3821,?,?,?,967.747307139,40.0658028815,-86.9058541224
388,7_3822,?,?,?,970.958031713,40.0724607231,-86.9038284574
389,7_3823,?,?,?,972.315853135,40.0782092038,-86.9034057051
390,7_3824,?,?,?,960.645120782,40.0590126932,-86.9065443694
391,7_3825,?,?,?,975.865525928,40.0733070683,-86.9040630855
392,7_3826,?,?,?,975.714610018,40.0758698401,-86.9042200682
393,7_3827,?,?,?,965.582792866,40.0679517087,-86.9051901644
394,7_3828,?,?,?,967.940704297,40.0692956488,-86.9052143312
395,7_3829,?,?,?,985.079021636,40.0861436905,-86.9030196755
396,7_3830,?,?,?,964.772018222,40.0706225595,-86.9064127905
397,7_3831,?,?,?,978.652981504,40.0784111562,-86.9029557011
398,7_3832,?,?,?,981.860615739,40.0825638724,-86.9051522564
399,7_3833,?,?,?,978.651904185,40.0709032948,-86.9044326538
400,7_3834,?,?,?,983.957974185,40.0730738963,-86.9055960553
401,7_3835,?,?,?,999.660927013,40.0808605864,-86.9039154087
402,7_3836,?,?,?,983.664145197,40.0669105282,-86.906968581
403,7_3837,?,?,?,1009.31757329,40.0797172757,-86.9046803009
404,7_3838,?,?,?,1004.6148805,40.0782172633,-86.9049838871
405,7_3839,?,?,?,1004.22387713,40.0785377574,-86.906226652
406,7_3840,?,?,?,1003.75808058,40.0773621178,-86.9071246581
407,7_3841,?,?,?,1021.32502584,40.091072313,-86.9023028247
408,7_3842,?,?,?,1004.52353879,40.0688625813,-86.9066677854
409,7_3843,?,?,?,1020.22195902,40.0881743792,-86.9043250427
410,7_3844,?,?,?,1017.71626686,40.0814895799,-86.9053858364
